district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Kwai Tsing,S.K.H. Yan Laap Primary School,65,http://www.yanlaap.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3000,Chinese & English,-,-,S.K.H. Lam Woo Memorial Secondary School,Yes,Yes,30,1,2,1,"Music rooms (2), Computer rooms, STEAM Lab, Aviation Academy, VR Cave, Art room, Student Activity Centre, Reading Room, English Room, Library, School Campus TV Studio, Two Multi-Purpose Rooms(G/F and 6/F).","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",57,59,100,100,32,47,15,22,63,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,2:50,PM,"1. Positivity, Health, and Growth<br>2. Innovation & Technology, Cross-curricular Reading and Vibrant Learning"
Kwai Tsing,TWGHs Ko Ho Ning Memorial Primary School,/,http://www.twghkhnmp.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6720,Chinese,-,-,-,Yes,-,23,2,3,1,"English Room, Visual Art Room, 2 Music Rooms, Computer Room, Library, Dancing Room, 2 Remedial Teaching Rooms, Distance Learning Room and Campus TV Broadcasting Centre, STEM Room, PTA Resource Room, Chinese Culture Room.",Accessible lift and Accessible toilet.,22,27,89,41,56,92,11,30,59,0,1,2,1,3,2,9,0,0,1,2,1,3,7,0,0,No,0,3,Yes,Yes,8:10,AM,3:30,PM,1. Continuous improvement in learning and teaching will be made to cultivate students' ability to communicate and collaborate with others.<br>2. Deepen positive education to enhance personal qualities.<br>3. To optimize value education and enhance students' and teachers' sense of belonging to the nation.
Sham Shui Po,Fr. Cucchiara Memorial School,40,http://www.fcms.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,30,1,2,1,"Language Room, Immersive Learning Room, Digital Art Room, Computer Room, Music Room, General Studies Room, STEM Lab, Small Class teaching Room, IRTP Room, Religious Room, Student Activity Centre and Multipurpose Activity Room.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",30,32,100,100,38,83,18,25,57,1,2,2,3,3,3,14,4,1,2,2,3,3,15,0,2,Yes,0,3,Yes,Yes,8:20,AM,3:30,PM,1. Cultivate new citizens of the 21st century.<br>2. Establish the core values of FCMS and cultivate students' positive outlook on life.
Kwai Tsing,Po Leung Kuk Castar Primary School,66,http://www.plkcastar.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4500,Chinese & English,-,-,-,-,Yes,24,1,3,1,"English Room, Computer Room, Star Land, Multi-media Production Room, Visual Art Room, Music Rooms, Discovery Zone, Chinese Language Room, etc.","Accessible lift, Accessible toilet and Tactile guide path plan.",48,53,100,98,37,81,16,7,77,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,1. Enhance students' self-directed learning ability and promote learning and teaching effectiveness.<br>2. Optimize STREAM education and help students improve STREAM thinking and skills. <br>3. Intensify school positive culture and enhance value education.
Kwai Tsing,S.K.H. Tsing Yi Estate Ho Chak Wan Primary School,66,http://www.tyehcw.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7100,Chinese,-,-,-,Yes,Yes,30,1,3,1,"Computer Room, Coolthink Studio, Music Room, General Studies room, Art and Craft room, English room, Dance room, Board Game Tribe, Chinese and Putonghua Room, Conference Room, Chapel.","Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",58,60,100,100,35,61,15,33,52,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:30,AM,3:30,PM,"1. Cultivate the mind and the soul, fostering values and Chinese moral education and the harvesting the vitality of growth.<br>2. Experience cross-disciplinary learning, gaining hands-on practice and connecting the new knowledge with learning.<br>3. Build resilience through flow, exchanging expertise and honing crucial generic skills."
Kwai Tsing,TWGHs Chow Yin Sum Primary School,66,http://twghscysps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,-,-,Yes,18,1,3,1,"Hall, Campus TV, Dancing Room, Piano Practice Room, Mathematics Room, Music Room, Visual Arts Room, Language Room, STEAM Room, Table Tennis Room, Future Forest (Computer Room), Reading Forest (library), etc.",Accessible lift and Accessible toilet.,36,36,100,92,33,69,14,25,61,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,1. Empower students to become a YinSumer with self-directed learning capabilities by igniting their passion for learning with experiential  <br>learning and promoting personalized learning through enhancing their skills in reading and the ability to integrate and apply information technology.<br>2. Cultivate students to become a YinSumer with good character and healthy living by developing value education through enriching their learning experiences and establishing their healthy lifestyles.
Kwai Tsing,TWGHs Wong See Sum Primary School,66,http://www.twghwssp.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2800,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,2,1,"Hall, Library(Knowledge Oasis), English Wonderland, STEM Maker Lab, Innovative Makerspace, Discovery Lounge, Game Room, Music Room, Fine Arts Room etc.",,39,47,83,98,21,86,30,21,49,3,3,3,3,4,4,20,2,3,3,3,3,4,18,0,0,Yes,0,3,Yes,Yes,8:15,AM,3:10,PM,"1. ""Quest for Knowledge, Infinite Possibilities"": - Cultivate reading habits.   - Spark curiosity & lifelong learning.   - Unlock student potential.<br>2. ""Nurture Hearts, Embrace the World"": - Promote wellbeing & balance.   - Develop positive values.   - Appreciate life's beauty.<br>3. ""Teach with Virtue, Grow with Excellence"" - Enhance teaching professionalism.   - Foster knowledge construction.   - Guide holistic development."
Kwai Tsing,Tsuen Wan Trade Association Primary School,66,http://www.twtaps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,24,1,2,1,"English World, Mathematics & Thinking World, STEM Lab., GS Discovery Centre, Student Kitchen, Studio On Air, Visual Arts Centre, Activity Room, Performing Arts Centre, Student Performance Centre, Aerospace Science and Technology Learning Center.","Ramp, Accessible lift and Accessible toilet.",30,40,100,100,21,44,31,36,33,3,2,3,3,2,1,14,3,3,2,3,3,2,16,0,0,Yes,2,2,Yes,Yes,8:10,AM,3:15,PM,1. Develop students' self-learning ability and their generic abilities.<br>2. Promote value education and cultivate students' good moral qualities.
Kwai Tsing,Y.C.H. Chiu Tsang Hok Wan Primary School,66,http://www.ychcthwps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5025,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,24,1,2,2,"English Reading Room, General Studies Room, Music Room, Visual Arts Room, Library, Innovative Technology Center, Maker Lab, ‎VR Platform for Education, Gaming Therapy Room and Speech Therapy Room.","Ramp, Accessible lift and Accessible toilet.",18,23,74,100,57,78,26,13,61,0,1,1,1,2,2,7,2,1,1,1,1,2,8,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,"1. Get involved in Teaching, Enjoy the process<br>2. Participate different activities, Show the love of China<br>3. Concern for society, Contribute with benevolence"
North,HHCKLA Buddhist Wisdom Primary School,80,http://www.wisdom.edu.hk,Aided,Whole Day,Co-ed,Buddhism,7000,Chinese,-,-,-,-,Yes,30,1,4,1,"Mr. Chan Hung Sum Hall, Campus TV Studio, Visual Arts Room, Electronic Keyboard(Music) Room, Computer Rooms, Lecture Theatre, STEM Room, English Wonderland , Chinese Cultural Room and Mindfulness Room etc.",Accessible lift and Accessible toilet.,56,60,93,100,33,53,28,30,42,5,4,5,5,5,5,29,5,5,4,5,5,5,29,0,2,Yes,0,3,Yes,Yes,8:05,AM,2:45,PM,1. Build a practical platform to promote students' positive growth.<br>2. Strengthen the implementation of diversified learning models to enhance learning and teaching effectiveness.
North,Yuk Yin School,80,http://www.yukyinschool.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,3600,Chinese,-,-,-,-,Yes,7,0,2,1,"Computer Room, STEAM Room, Campus TV Studio and special rooms.","Ramp, Accessible toilet and Tactile guide path plan.",20,25,100,100,25,90,20,40,40,1,1,1,1,1,2,7,1,1,1,1,1,1,6,0,3,Yes,0,3,Yes,Yes,8:20,AM,3:00,PM,"1. Strive to raise overall standards of teaching and learning and encourage students to be self motivated learners.<br>2. According to the learning needs of students, we provide a series of activities about life planning. These help students to develop self-awareness and explore their future options in order to achieve academic and social goals."
North,Pentecostal Gin Mao Sheng Primary School,81,http://www.pgms.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3400,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,26,1,2,1,"13 (1 STEM Laboratory, 1 Visual Arts Room, 1 Music Room, 1 English Room, 1 Distance Learning Classroom, 8 Multi-purpose Rooms).",Ramp and Accessible lift.,45,46,100,98,26,71,19,13,68,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,3,No,Yes,8:40,AM,3:40,PM,1. Implement the school-based cross- curricular learning and reading so as to enable students to integrate and apply cross- curricular knowledge and skills.<br>2. Facilitate students’ development of positive values through five core values.  
North,S.K.H. Ka Fuk Wing Chun Primary School,81,https://www.skhkfwc.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,3020,Chinese,-,-,-,Yes,-,25,1,2,1,"Digital TV Studio, Visual Arts Room, General Studies Room, English Room, STEM Room, Computer Rooms, Music Rooms, Student Guidance Room, Conference Rooms","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",48,50,100,100,28,81,12,26,62,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,4,Yes,Yes,8:00,AM,3:10,PM,"1. Adopt a student-centered approach to enhance the effectiveness of teaching and learning.<br>2. Through the implementation of values education, we seek to perpetuate Chinese culture and nurture students to embody positive thinking and virtuous character."
North,Fanling Government Primary School,81,http://www.fgps.edu.hk/,Gov't,Whole Day,Co-ed,Not Applicable,7680,Chinese,-,-,"Fanling Government Secondary School, <br>Sheung Shui Government Secondary School",-,Yes,30,1,2,1,"2 meeting Rooms, Activity Room, 2 IT Rooms, Art Room, Music Room, English Room, Teacher's Common Room, Computer Room, Campus TV Room, STEAM Room, Chinese Cultural Room, Science Room, Sports Activity Room",Accessible lift and Accessible toilet.,31,32,100,100,26,80,0,3,97,2,3,3,2,3,3,16,2,2,3,3,2,3,15,2,1,Yes,2,2,Yes,Yes,8:05,AM,3:10,PM,"1. Cultivate students' innovative spirit.<br>2. Cultivate students' positive values ​​and enable them to master the thinking skills and attitudes, in order to let them become good citizens, who are responsible for society, have a sense of national identity and willing to obey the law and rules."
North,Shek Wu Hui Public School,80,http://www.swhps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,3000,Chinese,-,-,-,-,Yes,24,1,2,1,"Nine (1 STEM LAB, 1 Computer Room, 1 English Room , 1 Art Room, 1 Music Room,1 Brownie and Scout Room,1 Play Room, 1 Campus TV Studio, 1 Robotics Lab).","Ramp, Accessible lift and Accessible toilet.",39,42,100,100,38,68,7,7,86,3,2,3,4,4,4,20,3,3,2,3,4,4,19,0,1,Yes,0,3,Yes,Yes,8:10,AM,3:20,PM,1. Strengthening students' confidence. <br>2. Enhancing students' well-being.
North,TWGHs H.K. & KLN. E.A.M.A. Ltd. School,80,http://www.eama.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,-,Yes,Yes,28,1,2,1,"English Room, Maths Room, STEAM Room, IT Learning Centre, Music Room, Visual Art Room, Library, Remedial Teaching rooms, Campus TV","Ramp, Accessible lift and Accessible toilet.",36,38,100,97,19,34,10,24,66,2,2,3,3,4,4,18,2,2,2,3,3,4,16,0,0,Yes,1,2,Yes,Yes,8:05,AM,3:15,PM,1. Develop in students a love of learning and the self-learning capacity.<br>2. Develop positive values and attitudes and positive interpersonal relationships.
North,TWGHs Ma Kam Chan Memorial Primary School,80,http://www.twghmkc.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7200,Chinese & English,-,-,-,-,Yes,36,1,2,1,"English room, language room, music room, visual arts room, advanced computer room, STEAM Room, Inno Space, city development centre and parents resource centre.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",65,73,94,100,47,69,14,27,59,6,6,6,6,6,6,36,6,6,6,6,6,6,36,1,1,Yes,1,2,Yes,Yes,8:10,AM,3:30,PM,"Reading for knowledge, English for more opportunities, Participation for self-actualization, Expression for mutual understanding, Thinking for enlightenment."
North,Fanling Assembly of God Church Primary School,81,http://www.fagps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3940,Chinese,-,-,-,Yes,-,25,1,1,1,"7 (English Room,  Music Room, General Studies Room, STEAM Room, Visual Arts Room, Student Activity Centre, Conference Room).",Accessible lift and Accessible toilet.,48,53,98,100,42,72,19,19,62,5,4,4,4,4,4,25,4,5,4,4,4,4,25,1,1,Yes,1,2,Yes,Yes,8:00,AM,2:55,PM,"1. Promoting self-directed learning so that pupils can become self-disciplined, reflective and responsible.<br>2. Co-creating a sense of belonging towards the school and strengthening national identity."
North,Fung Kai Liu Yun Sum Memorial School,81,http://www.fklys.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5305,Chinese,-,-,-,-,Yes,28,1,2,1,"4 special rooms: computer room, music room, 2 activity rooms.",-,43,48,100,65,33,71,8,25,67,2,4,4,4,4,4,22,2,2,4,4,4,4,20,0,2,Yes,0,3,No,Yes,8:00,AM,3:00,PM,1. Enhancing students' sense of national identity.<br>2. Step up the promotion of STEAM Education.<br>3. Develop students' healthy lifestyle.
North,Ta Ku Ling Ling Ying Public School,81,http://www.lyps.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,10000,Chinese,-,-,-,Yes,Yes,17,1,2,1,"Computer room, English room, Library room, Counseling room, Resource room, Social worker's room, Multi-Purpose Room, Visual Arts room, Meeting room.","Ramp, Accessible lift and Accessible toilet.",33,38,100,100,50,75,14,18,68,2,3,3,3,3,2,16,3,2,3,3,3,3,17,0,0,Yes,0,3,Yes,Yes,8:20,AM,3:00,PM,"We cherish the physical and moral developmental needs of every student. We provide students with a multi-dimensional curriculum and activities, and hence students' potential and creativity can be developed and enhanced."
North,Fuk Tak Education Society Primary School,83,http://www.ftesps.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese,-,-,-,Yes,Yes,12,1,1,2,"English room, student activity center, Stem Room, multipurpose room, counseling room, conference room, music room, visual arts room, library.","Ramp, Accessible lift and Accessible toilet.",22,24,96,50,50,62,25,25,50,1,2,1,2,2,2,10,1,1,2,1,2,2,9,0,2,Yes,0,3,Yes,Yes,8:25,AM,3:45,PM,1. Continuously increase students' self-directed learning capabilities with diversified teaching strategies.<br>2. Continuously foster students' positive values.
North,HHCKLA Buddhist Chan Shi Wan Primary School,80,http://www.bcsw.edu.hk,Aided,Whole Day,Co-ed,Buddhism,2000,Chinese,-,-,-,-,Yes,24,1,2,1,"Computer Room, English Language Room, Music Room, Variety Hub, STEM in PE Experiential Centre, STEAM Lab. ","Ramp, Accessible lift and Tactile guide path plan.",44,51,100,98,31,49,26,28,46,4,3,4,4,4,4,23,4,4,3,5,4,4,24,2,1,Yes,0,3,Yes,Yes,8:10,AM,3:25,PM,"Promote values education, nurture the attributes and skills of life planning and enhance the diversity of reading literacy."
North,Kam Tsin Village Ho Tung School,80,http://www.ktvhts.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6870,Chinese,-,-,-,Yes,-,20,1,1,1,"Multimedia Learning Centre, Music room, Medical care room, Counselling room, Parents-Teachers Association Room, Mobile Campus TV, Kids Steam Room, Room I Can, Room I Am, Ecological House.","Ramp, Accessible lift and Accessible toilet.",23,24,100,100,38,82,0,17,83,1,2,1,1,2,3,10,2,1,2,1,1,2,9,0,2,Yes,0,2,Yes,Yes,8:25,AM,3:25,PM,"1. We have implemented a ""Children-centred"" approach. This encourages students to learn with determination for self-improvement and live with morality for a better future.<br>2. We are creating a caring and happy campus for all students. It takes a village to raise a child.<br>3. We are also keeping pace with the times by pioneering interdisciplinary education in Artificial Intelligence (AI)."
North,S.K.H. Wing Chun Primary School,80,http://www.skhwc.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4000,Chinese,-,-,-,-,Yes,24,1,2,1,"English reading room, activity room, computer room, 2 music rooms, STEAM room, pottery room, environmental protection resources room, campus TV, broadcasting station, contemplation room.",Ramp and Accessible lift.,48,48,100,100,33,60,4,20,76,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,2,No,No,8:15,AM,3:30,PM,1. To optimise the curriculum and emerge students' potential.<br>2. To promote positive education and be willing to assist people.
North,Tsang Mui Millennium School,80,http://www.tmms.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6500,Chinese,-,-,-,-,Yes,30,1,1,2,"Multi-media Language Center (MMLC), Dancing Room, 2 Music Rooms, English Reading Room, Visual Art Room, Multi-functional Room (or Multi-purpose Conference Room), Teaching Resources Rooms.","Accessible lift, Accessible toilet and Braille and tactile floor plan.",57,68,81,100,37,41,32,24,44,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,2,Yes,2,2,Yes,Yes,7:55,AM,2:50,PM,"1. Cultivate students to have a healthy lifestyle, develop personal interests and potential, foster interest and basic appreciation in physical and artistic activities, and achieve balanced physical and mental development.<br>2. Strengthen media and information literacy education to cultivate students' correct values and attitudes.<br>3. Promote lifelong learning abilities in students through the implementation of digital education platforms.<br>4. Develop students' interdisciplinary learning abilities, enabling them to integrate knowledge from different learning domains."
